"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav","count","id","timeofday","behav2","vessels"
4.170177607,14.66339157,0.820814595,126.0602058,0.2,"Trawler",5,0,"FSB",1,414421,"morning","Foraging","Present"
3.278002442,5.077530476,0.986154125,277.3841336,0.2,"Trawler",5,0,"FSB",2,414424,"morning","Foraging","Present"
3.445298489,27.39129427,0.908117741,204.3864409,0.2,"Trawler",4,0,"FSB",1,414424,"morning","Foraging","Present"
3.754351376,3.69390218,0.997525697,268.1358764,0.2,"Trawler",5,0,"FSB",3,414424,"morning","Foraging","Present"
2.370723671,36.58990832,0.851287198,90.75021586,0.3,"Trawler",4,0,"Forage",1,414427,"morning","Foraging","Present"
0.581557284,33.08424263,0.388528189,86.6212935,0.4,"Tour",2,0,"Social",2,414428,"mid-day","RST","Present"
2.266165255,54.45596772,0.122502787,81.56733481,0.4,"Mid",3,0,"Social",1,414428,"mid-day","RST","Present"
0.55483195,105.6152857,0.341542942,305.0031023,0.7,"None",3,1,"Social",1,414432,"afternoon","RST","Absent"
0.767524762,85.09421621,0.14831937,293.8562202,0.7,"Small",6,1,"Social",3,414432,"afternoon","RST","Present"
0.800495354,72.3978742,0.056686135,290.6791104,0.7,"Small",4,1,"Social",4,414432,"afternoon","RST","Present"
1.483148403,82.84349101,0.178860832,292.1467083,0.7,"Small",6,1,"Social",2,414432,"afternoon","RST","Present"
1.534205066,65.28057406,0.154019979,176.3645705,0.8,"Mid",3,0,"Rest",1,414433,"afternoon","RST","Present"
0.995823381,35.47279777,0.389633687,273.6929983,0.9,"None",1,0,"Forage",2,414434,"afternoon","Foraging","Absent"
1.731010978,31.49169189,0.575701191,216.4351196,0.9,"None",1,0,"Forage",1,414434,"afternoon","Foraging","Absent"
0.576650264,62.97870629,0.128963428,132.2609015,0.5,"None",3,0,"Social",1,414443,"mid-day","RST","Absent"
0.809132702,109.0179175,0.107896095,127.6373569,0.5,"Small",6,1,"Social",2,414443,"mid-day","RST","Present"
0.856422118,84.12704738,0.138280845,115.9914522,0.6,"Mid",6,1,"Social",3,414443,"mid-day","RST","Present"
1.485941223,41.80546894,0.546156562,212.4142216,0.6,"Small",4,0,"Social",5,414443,"mid-day","RST","Present"
1.738545488,69.16473232,0.773676699,163.2570044,0.6,"Small",9,0,"Social",4,414443,"mid-day","RST","Present"
0.892935727,12.70397519,0.938267052,164.7819349,0.7,"None",2,0,"Forage",1,414444,"afternoon","Foraging","Absent"
1.598825989,18.0149599,0.774402945,182.9687763,0.7,"Large",2,0,"Forage",2,414444,"afternoon","Foraging","Present"
2.765857883,17.87029152,0.292835419,149.30747,0.2,"Trawler",3,0,"FSB",2,414455,"morning","Foraging","Present"
3.489363843,9.244548235,0.984283775,164.4687918,0.3,"TT",8,0,"FSB",3,414455,"morning","Foraging","Present"
